Hi.	مرحبًا.
Bring wine.	أحضر النبيذ.
Can I stay?	هل أستطيع أن أبقى؟
Carry this.	احمل هذا.
Check that.	إفحص ذلك.
Check this.	إفحص هذا.
Come again.	تعالَ مُجدداً.
Come alone.	تعالَ وحدك.
Come alone.	تعالَ بمفردك.
Come along.	تعال معنا.
Come on in!	هيا ادخل
Come on in.	هيا ادخل
Come quick!	تعال بسرعة.
Come to me.	تعال إلي
Definitely!	قطعاً
Don't move.	لا تتحرك.
Fill it up.	املئها.
Follow him.	اتبعه.
Go to work.	اذهب إلى العمل
Have faith.	كن مؤمنا.
He is nice.	إنه لطيف.
He is sick.	إنه مريض.
He's happy.	هو سعيد
He's smart.	هو ذكي.
He's smart.	إنه ذكي.
Here he is!	ها هو هنا
Here it is.	ها هي.
I am a boy.	أنا ولد.
I am bored.	أنا أشعر بالملل.
I am going.	أنا ذاهب.
I am happy.	أنا سعيد
I am sorry.	أنا آسف
I can jump.	يمكنني القفز.
I can jump.	أستطيع القفز.
I can jump.	يمكنني أن أقفز.
I can swim.	يمكنني السباحة.
I can swim.	بإمكاني أن أسبح.
I eat here.	سآكل هنا.
I envy her.	أنا أحسدها.
I felt sad.	شعرت بالحزن.
I hear you.	أنا أسمعك
I know her.	أعرِفها.
I know her.	أنا أعرفها
I know him.	أعرفه.
I know him.	أنا أعرفه
I like you.	أحبك.
I like you.	تعجبني.
I love her.	أحبها.
I love her.	أنا أحبها
I love you.	أنا أحبك.
I love you.	أحبك.
I love you.	احبك.
I love you.	انا احبك
I love you.	أنا أحبك
I meant it.	قصدت ذلك.
I miss him.	أشتاق إليه.
I miss you.	اشتقت إليك.
I miss you.	افتقدتك.
I need you.	أحتاج إليك.
I need you.	أحتاجك.
I resigned.	استقلت.
I saw that.	لقد رأيت ذلك
I think so.	أعتقد ذلك.
I think so.	أظن ذلك.
I want you.	أريدك.
I'm OK now.	أنا بخير الآن.
I'm a hero.	أنا بطل.
I'm coming.	سآتي.
I'm coming.	أنا آتٍ
I'm hungry!	أشعر بالجوع.
I'm not OK.	لست على ما يرام.
I'm sleepy!	أنا نعسان!
I'm so fat.	أنا بدين جداً.
I'm so fat.	أنا شديد البدانة.
I'm so fat.	أنا سمين جدا.
I'm unsure.	لست متأكّدا.
Is it love?	هل هذا هو الحب؟
It is cold.	الجو بارد.
It's on me.	الحساب عليّ.
Let Tom go.	دَع توم يذهب.
Let him go!	دعه يذهب!
Let him go.	دَعَهُ يذهب.
Let me out!	دعني أخرُج!
Look again.	انظر مرة أخرى
Look at me.	انظر إليّ.
Look at me.	انظر إلي
Never mind!	لا عليك!
No problem!	لا مشكلة!
Once again.	مرة أخرى.
Once again.	مجدداً.
Talk to me!	كلمني!
That's wet.	ذاك مبلل.
Tom is big.	توم كبير
Tom smiled.	توم إبتسم.
Tom yawned.	توم تثاءب.
Tom's died.	توم مات.
Tom's here.	توم هنا
We are men.	نحن رجال.
We are men.	إننا رجال.
What gives?	ما الأمر؟
What's new?	ما الجديد؟
Wood burns.	الخشب يحترق.
You may go.	يمكنك الذهاب.
Are you mad?	هل أنت غاضب؟
Are you sad?	هل أنتِ حزينة؟
Be creative.	كُن مُبدِعاً.
Be creative.	كُن خلاقاً.
Be discreet.	كُن حَذِراً.
Be friendly.	كُن ودوداً.
Be merciful.	كُن رحيماً.
Be prepared.	كُن مُستعداً.
Be prepared.	كن مستعداً
Be prepared.	كونوا مستعدين
Be ruthless.	كُن عديم الرحمة.
Be sensible.	كُن معقول.
Be specific.	كُن محدداً.
Be tolerant.	كُن مُتسامحاً.
Be vigilant.	توخى الحذر.
Check again.	راجع مُجدداً.
Check again.	إفحص مُجدداً.
Check again.	تحقق مجدداً.
Come closer.	إقتَرِب.
Come inside.	تعالَ بالداخل.
Contact Tom.	إتصل بتوم.
Did Tom die?	هل مات توم؟
Do as I say.	افعل كما أقول
Don't argue.	لا تُجادِل.
Don't cheat.	لا تَغِش.
Don't do it!	لا تفعل ذلك!
Don't worry.	لا تقلق.
Don't worry.	لا عليك.
Go find Tom.	إذهب وابحث عن طوم.
Have a seat.	استرح.
He can come.	بإمكانه المجيء
He is alone.	إنه وحيد.
He is alone.	إنه وحده.
He is happy.	هو سعيد
He's strong.	إنه قوي.
Here we are!	ها نحن ذا
Here we are.	ها قد وصلنا.
Here we are.	ها نحن هنا
How are you?	كيف حالك؟
How are you?	كيفَ حالك؟
How are you?	كيفَ حالِك؟
I also went.	ذهبت أيضاً.
I am afraid.	أنا خائف.
I am coming.	أنا آتٍ.
I am coming.	أنا آتٍ
I dug a pit.	حفرت حفرة.
I feel cold.	أشعر بالبرد.
I like jazz.	أحب موسيقى الجاز.
I like rice.	أحب الرز
I live here.	أعيش هنا.
I live here.	أنا أسكن هنا
I love rock.	أعشق موسيقى الروك.
I must hide.	عليّ الاختباء.
I need time.	أحتاج وقتا.
I said that.	قلت ذلك.
I trust you.	أثق بك.
I trust you.	أنا أثق فيك.
I trust you.	أنا أثق بك.
I want more.	أريد المزيد
I was wrong.	كنت مخطئاً.
I'll attend.	سأحضر.
I'll decide.	سأقرر.
I'm a baker.	أنا خباز
I'm a woman.	أنا امرأةٌ.
I'm at home.	إني في المنزل.
I'm at home.	أنا في البيت.
I'm at home.	أنا في البيت
I'm married.	أنا متزوج.
I'm reading.	أنا أقرأ
I'm serious.	أنا جاد.
I'm serious.	أنا لا أمزح.
I'm thirsty.	أنا عطشان.
I'm thirsty.	أنا عطش.
Is Tom here?	هل توم هنا؟
Is it rainy?	هل الجو ممطر؟
Is it windy?	هل الجو عاصف؟
Is that all?	أهذا كل شيء؟
It can't be!	لا يمكن أن يحصل ذلك!
It may rain.	من الممكن أن تمطر.
It may rain.	ربما ستمطر.
It may snow.	قد ينزل الثلج
It's Monday.	اليوم الإثنين.
It's Monday.	إنه يوم الاثنين
It's my job.	إن ذلك عملي.
It's my job.	هذا واجبي.
Let's begin.	لنبدأ.
Let's party.	لنحتفل!
Let's split.	دعونا ننقسم.
Let's split.	دعنا ننقسم.
Let's split.	دعينا ننقسم.
Let's start!	لنبدأ.
Look at him.	انظر إليه
Many thanks.	شكراً جزيلاً.
Many thanks.	شكراً جزيلاً!
Nobody came.	لم يأتي أحد.
OK. I agree.	حسناً. أنا موافق.
Please come.	من فضلك تعال.
Put it down.	ضعها أرضاً.
She's happy.	هي سعيدة
Take a look.	ألقي نظرة
Take a rest.	استرِح.
That's life.	هكذا هي الحياة.
The TV's on.	التلفاز مفتوح.
Tom frowned.	قطب توم حاجبيه.
Tom is here.	توم هنا
Tom's happy.	توم سعيد
We are boys.	إننا صبية.
We know him.	نحن نعرفه
We're happy.	نحن سعداء
What a team!	يا له من فريق!
What is new?	ما الجديد؟
What's that?	ما ذلك؟
What's this?	ما هذا؟
Where's Tom?	أين توم؟
Who are you?	من أنت؟
Who are you?	من أنتِ؟
Who drew it?	من رسم ذلك؟
Who drew it?	من رسمها؟
Who's there?	من هناك؟
Yes, I know.	نعم أنا أعلم
You must go.	عليك أن تذهب.
You must go.	عليك الرحيل.
You must go.	عليك الذهاب.
You must go.	يتوجّب عليك الذهاب.
You're here.	أنت هنا
You're rich.	أنت غني
Anything new?	هل من جديد؟
Are you sure?	هل أنت متأكد؟
Are you sure?	أأنت متأكد من ذلك؟
Bring backup.	أحضر النُسخة الإحتياطية.
Bring him in.	أدخله.
Can you come?	هل يمكنك القدوم؟
Can you come?	أيمكنك المجيء؟
Can you swim?	هل بإمكانك السباحة؟
Check around.	تحقق حولها.
Come forward.	تعالَ إلى الأمام.
Come forward.	تَقَدَم.
Come quickly!	تعالَ بسرعة!
Come with me.	تعال معي.
Come with us.	تعال معنا.
Cool it down.	هدّء من روعك.
Did you call?	هل اتصلت؟
Do you smoke?	هل تدخن؟
Drive safely.	قد بحذر.
Fish, please.	سمك من فضلك.
Good evening.	مساء الخير.
Grab my hand.	أمسك يدي.
He can do it.	باستطاعته القيام بذلك.
He can do it.	بإمكانه القيام بذلك.
He got angry.	غضب.
He has a car.	إنه يملك سيارة.
He has a car.	لديه سيارة.
He has a car.	لديه سيارة
He is French.	إنه فرنسي.
He is French.	إنه من فرنسا.
He is French.	هو فرنسي
He is eating.	إنه يأكل.
He let me go.	هو تركني أذهب.
He let us go.	هو تركنا نذهب.
He loves her.	إنه يحبها.
He loves her.	يحبها.
He loves her.	هو يحبها
He mocked me.	لقد سخر منّي.
He was brave.	كان شجاعاً.
How annoying!	كم هذا مزعج!
I am Chinese.	أنا صيني
I am at home.	إني في المنزل.
I am at home.	أنا في البيت.
I am at home.	أنا في البيت
I am curious.	أود أن أعرف.
I am married.	أنا متزوج.
I am thirsty.	أنا أشعر بالعطش.
I ate caviar.	أكلت الكافيار.
I can't talk.	لا أستطيع الكلام.
I dialed 911.	اتّصلت ب‍ 911.
I do hope so.	آمُلُ ذلك.
I don't care.	لا أهتم.
I don't care.	الأمر لا يعنيني.
I don't know.	لا أعرف‏.‏‏
I don't know.	لا أعرف.
I don't know.	لا أعلم.
I don't know.	لا أدري.
I don't know.	لا أعلم
I feel tired.	أشعر بالإرهاق.
I have a car.	أملك سيارةً.
I have a car.	لدي سيارة
I have a pen.	لدي قلم.
I have a pen.	عندي قلم.
I have to go.	يجب أن أذهب.
I hugged her.	احتضنتها.
I love trips.	أحب الرحلات.
I slept late.	نمت متأخّرا.
I understand.	أنا أفهم
I was absent.	كنت غائبا.
I was hungry.	كنت جائعاً.
I won't lose!	لن أخسر!
I won't lose!	لن أُهزم!
I'll ask him.	سوف أسأله
I'll sue you.	سأقاضيك.
I'm a mother.	أنا أمّ.
I'm free now.	أنا متفرغ الآن
I'm freezing.	أشعر بالبرد.
I'm new here.	أنا جديد هنا
I'm not busy.	لست مشغولاً.
I'm not free.	أنا مشغول.
I'm not thin.	لست نحيفا.
I'm pregnant.	أنا حامل.
I'm so happy.	أنا سعيد جداً.
I'm starving!	أنا في غاية الجوع.
Iron is hard.	الحديد صلب.
Is Tom happy?	هل توم سعيد؟
Is this love?	هل هذا هو الحب؟
It isn't new.	ليست جديدة.
It's bedtime.	حان وقت النوم.
It's raining.	إنها تمطر.
It's so dark.	إنه مظلم جداً.
It's too big.	هل توم كبير؟
It's too hot.	إنه ساخن جداً.
It's too hot.	إنها ساخنة جداً.
It's too hot.	الجو حار جداً.
It's too hot.	إن الطقس حار للغاية.
It's too hot.	إنها حارة جداً
It's too hot.	الجو حار جدا
It's too hot.	الجو حار جداً
Ladies first.	السيدات أولاً.
Let me do it.	دعني أفعلها
Listen to me.	استمع إلي
Listen to me.	استمع الي
Look at that!	أُنظر إلى هذا!
Look at this.	أُنظر إلى هذا.
Mary came in.	دخلت ماري.
Mary came in.	أتت ماري
My eyes hurt.	عيناي تؤلمانني.
No one knows.	لا أحد يعلم.
No one knows.	لا أحد يعلم
See you then.	إذاً أراك لاحقاً.
Shame on you!	عار عليك!
She is happy.	هي سعيدة
She may come.	ربما ستأتي.
Stay at home.	ابق في البيت.
Stop gawking.	كف عن التحديق.
Stop the car.	أوقف السيارة
Stop yelling!	توقف عن الصراخ!
Stop yelling!	توقفي عن الصراخ!
Stop yelling!	كف عن الصراخ!
Sweet dreams!	أحلاماً سعيدة!
Take it easy.	على رِسْلِك.
Take it easy.	لا تحمل هماً.
Tell us more.	أخبرنا أكثر
Thanks again.	شكرا مرة أخرى
That was fun.	كان ذلك ممتعًا.
That's great!	هذا عظيم!
This is ours.	هذه لنا
This is true.	إن ذلك صحيح.
Tom has kids.	توم لديه أطفال.
Tom is happy.	توم سعيد
Tom survived.	نجا توم.
Tom's strict.	إن توم شديد.
Try it again.	حاول مرة أخرى.
Try it again.	حاول مجدداً.
Unbelievable!	شيء لا يُصدق!
We are Arabs.	نحن عرب.
We are happy.	نحن مسرورون.
We are happy.	إنا سعداء.
We are happy.	نحن سعداء
We need help.	نحن نحتاج إلى مساعدة
We need rain.	نحن نحتاج إلي المطر.
We succeeded!	نجحنا!
We succeeded.	نجحنا.
We're at war.	نحن في حرب.
We're coming.	نحن آتون
Welcome home.	مرحباً بك في المنزل.
What's wrong?	ما المشكلة؟
What's wrong?	ما الخطب؟
Where are we?	أين نحن؟
Where is Tom?	أين توم؟
Won't you go?	ألن تذهب؟
You are rich.	إنّك غنيّ.
You are rich.	أنت غنيّ.
You are rich.	أنت غني
You go first.	اذهب أنت أولاً.
You know how.	أنت تعلم كيف
You're crazy.	إنك مجنون.
You're right.	أنت محقّ.
Are you alone?	هل أنت وحدك؟
Are you happy?	هل أنت سعيد؟
Are you happy?	هل أنت سعيد
Are you ready?	هل أنت جاهز؟
Be respectful.	كُن مُحترماً.
Be supportive.	كُن داعماً.
Bring it here.	احضره الى هنا.
Bring the key.	أحضر المفتاح.
Can you drive?	هل تستطيع أن تقود سيارة؟
Come tomorrow.	تعالَ غداً.
Everyone dies.	الجميع يموت.
Everyone dies.	"كل من عليها فانٍ".
Flowers bloom.	الأزهار تتفتح.
God bless you!	باركك الله .
He fooled her.	خدعها.
He kissed her.	قبّلها.
He let Tom go.	هو تركَ توم يذهب.
He lied to us.	كذب علينا.
He sells cars.	إنه يبيع السيارات.
He shot at me.	أطلق عليّ الرّصاص.
He's outraged.	إنه غاضب.
He's so young.	إنهُ شاب جداً.
He's so young.	إنهُ صغير جداً.
He's very ill.	إنه مريض جداً.
Here he comes.	ها قد أتى.
Here or to go?	هنا أم تأخذها معك؟
How about you?	ماذا عنك؟
How big is it?	ما هو حجمها؟
How did it go?	كيف جرى الأمر؟
How old is he?	كم عمره؟
How's the job?	كيف حال الوظيفة؟
I am a Muslim.	أنا مسلم
I am all ears.	كلّي آذانٌ صاغية.
I am busy now.	أنا مشغول الأن.
I am busy now.	أنا مشغولة الأن.
I am new here.	أنا جديد هنا
I believe you.	أصدقك.
I came by car.	أتيت بالسيارة.
I can't do it.	لا يمكنني فعل ذلك.
I can't do it.	لا أستطيع أن أفعل ذلك.
I caused this.	هذا بسببي.
I caused this.	أنا سببّت هذا.
I did see him.	قد رأيته.
I did see him.	لقد قابلته.
I do love you.	أحبك.
I do not work.	أنا عاطل عن العمل.
I feel hungry.	أشعر بالجوع.
I got thirsty.	أنا عطشان.
I hate coffee.	أكره القهوة.
I have a book.	عندي كتاب.
I have a cold.	أصبت بالبرد.
I have a cold.	لدي زكام.
I have a cold.	أصبت بالزكام.
I just got up.	استيقظت للتوّ.
I like French.	أنا أحب الفرنسية
I like movies.	أحب الأفلام.
I like movies.	أحب مشاهدة الأفلام.
I like sports.	أحب الرياضة.
I like sports.	أحب ممارسة الألعاب الرياضية.
I like tennis.	أحب كرة المضرب.
I like tennis.	أحب لعب التنس.
I lost my job.	خسرت وظيفتي.
I lost my key.	أضعت مفتاحي.
I love Arabic.	أحب اللّغة العربية.
I love French.	أنا أحب الفرنسية
I love movies.	أحب الأفلام.
I love my dad.	أنا أحب أبي
I must go now.	يتوجب علي الذهاب الآن.
I need my key.	أحتاج لمفتاحي.
I play violin.	أعزف الكمان.
I saw a ghost.	رأيت شبحا.
I took a walk.	تمشّيت.
I use Firefox.	أنا أستخدم برنامج فايرفوكس.
I use Firefox.	أنا أستخدم Firefox
I want a beer.	أنا أُريد بيرة.
I want to die.	أريد أن أموت.
I'll buy this.	سأشتري ذلك.
I'll call you.	سأتصل بك.
I'll eat here.	سآكل هنا.
I'll miss you.	سأفتقدك.
I'll miss you.	سأشتاق إليك.
I'll take him.	سآخذه معي.
I'm a bit shy.	أنا خجول قليلاً.
I'm a student.	أنا تلميذ.
I'm a student.	أنا طالب
I'm a tourist.	أنا سائح.
I'm in my car.	أنا في السيارة
I'm not going.	أنا لستُ ذاهباً.
I'm not going.	أنا لستُ ذاهبة.
I'm not happy.	أنا لست سعيداً.
I'm not happy.	أنا لستُ سعيدة.
I'm not tired.	أنا لست متعباً.
I'm observant.	أنا شديد الملاحظة.
I'm on a diet.	إنني أتبع حمية.
I'm tired now.	أنا متعب الآن.
I'm very busy.	إنني مشغول جداً.
Is that clear?	أهذا واضح؟
Is that yours?	هل هذا لكَ؟
Is that yours?	هل ذلك يخصك؟
It is raining.	إنها تمطر.
It is raining.	الجو ممطر.
It is too hot.	الجو حار جدا
It is too hot.	الجو حار جداً
It isn't mine.	ليس ملكي.
It won't hurt.	لن يؤلم.
It'll turn up.	سيتم الامر
It's Saturday.	هل اليوم هو السبت؟
It's a secret.	إنه سر.
It's annoying.	إنهُ مزعج.
It's fall now.	دخل الخريف.
It's fall now.	نحن في الخريف الآن.
It's improved.	لقد تحسنت.
It's very big.	إنها كبيرة جداً.
Just a minute.	دقيقة من فضلك.
Let me see it.	دعني أراها.
Let me try it.	دعني أجربها.
Life is sweet.	الحياة حلوة.
Listen to Tom.	استمع إلى توم
Lock the gate.	أغلق البوابة.
Love is blind.	الحب أعمى.
Luck is blind.	الحظ أعمى.
Make me happy.	أسعدني/اجعلني سعيداً
Make your bed.	رتب سريرك.
May I ask why?	أيمكنني سؤالك عن السبب؟
May I come in?	هل بإمكاني الدخول؟
May I come in?	هل أستطيع أن آتي؟
My head hurts.	رأسي يؤلمني.
No, thank you.	لا، شكراً لك.
No, thank you.	لا, شكراً لك
Our team lost.	خسر فريقنا.
See you again.	أراك مجدداً.
See you again.	إلى اللقاء.
She bent down.	إنحنت.
She hated him.	كرهته.
She is eating.	إنها تأكل.
She loves Tom.	إنها تحب توم.
She loves Tom.	إنها تعشق توم.
She loves Tom.	هي تحب توم
Shut the door.	أغلق الباب.
Speak clearly.	تكلم بوضوح.
Stand at ease!	استرح.
Thanks anyway.	شكراً على أي حال.
That's enough.	كفى.
That's enough.	هذا يكفي.
That's my cat.	ذلك قطي.
That's my cat.	تلك قطتي.
They all left.	غادروا جميعا.
They hate you.	إنهم يكرهونك.
They know Tom.	هم يعرفون توم
They're happy.	إنهم سعداء
They're happy.	هم سعداء
This is a dog.	هذا كلب.
This is a pen.	هذا قلم.
This is a pun.	هذه نكتة.
Today was fun.	كان اليوم يوماً ممتعاً.
Tom has a car.	توم لديه سيارة
Tom has money.	توم لديه نقود
Tom is absent.	توم غائب.
Tom is my dad.	توم هو أبي
Tom likes you.	توم معجب بكي.
Tom was fired.	طرد توم من عمله.
Tom was naked.	كان توم عاريًا.
Wait a minute.	انتظر دقيقة
Wait a moment.	انتظر لحظة.
We are coming.	نحن آتون.
We are coming.	نحن آتون
We are hungry.	إننا جائعون.
We understand.	نحن نفهم
We wonder why.	نتساءل لِمَ.
We're at home.	نحن في المنزل
We've arrived.	ها قد وصلنا.
We've arrived.	لقد وصلنا.
Were you shot?	هل أصبت بعيار ناري؟
What a relief!	يا لها من راحة
What can I do?	ما عساني أن أفعل؟
What happened?	ما الذي حصل؟
What happened?	ماذا حدث؟
Where are you?	أين أنت؟
Who said that?	من قال هذا؟
Who says that?	من يقول هذا؟
Whose is this?	لمن هذا؟
You can do it.	يمكنك أن تفعلها!
You can do it.	تشجع!
You look busy.	تبدو مشغولاً.
You look pale.	تبدو شاحباً.
You look pale.	تبدو شاحب الوجه.
You look sick.	يبدو عليك المرض.
You look sick.	تبدو مريضاً.
You may speak.	يمكنك التحدث.
You need this.	ستحتاج إلى ذلك.
You should go.	عليك الذهاب.
You should go.	من الأفضل أن تذهب.
You were busy.	كنتَ مشغولاً.
You work hard.	إنك تعمل بجد.
You're joking!	أنت تمزح!
Allow me to go.	اسمح لي بالذهاب.
Are you coming?	هل أنت آتٍ؟
Are you hungry?	هل أنت جائع؟
Aren't you Tom?	ألست طوم؟
Birds lay eggs.	تضع الطيور البيض.
Bring it to me.	أحضرها لي.
Can I help you?	هل لي أن أساعدك؟
Can I help you?	أيمكنني مساعدتك؟
Can I help you?	كيف لي أن أساعدك؟
Check everyone.	إفحص كُل واحد.
Close the door.	أقفل الباب!
Come back soon.	عُد قريبًا.
Do as you like.	إفعل ما تريد.
Do as you want.	افعل ما تريد.
Do you know me?	هل تعرفني؟
Do you like it?	هل تحب ذلك؟
Do you like it?	هل يعجبك ذلك؟
Do you love me?	أتحبني؟
Do you love me?	هل تحبني؟
Do you mean me?	هل تقصدني؟
Do you promise?	أتعدني؟
Do you promise?	أتعديني؟
Does it matter?	هل يهم؟
Don't say that.	لا تقل ذلك.
Don't stop him.	لا توقفه
Don't touch me!	لا تلمسني.
Drop the knife!	ألق السكين.
Get out of bed!	انهض من سريرك!
Give it to him.	أعطه إياه.
Give it to him.	أعطه إياها.
Happy New Year!	كل سنة و أنت بخير.
Happy New Year!	كل سنة و أنتم بخير.
Happy New Year!	عام جديد سعيد!
Happy New Year!	سنة جديدة سعيدة!
Happy New Year!	عاك سعيد!
Happy birthday!	عيد ميلاد سعيد.
He doesn't run.	هو لا يجري
He drives fast.	هو يسوق بسرعة.
He has left us.	هو تركنا.
He has left us.	هو غادرنا.
He is a doctor.	إنه طبيب.
He is a genius.	إنه عبقري.
He is a genius.	إنه ذكي جداً.
He looks young.	يبدو شاباً.
He loves music.	يحب الموسيقي.
He sang a song.	غنى أغنية.
He seems tired.	يبدو متعباً.
He will not go.	لن يذهب.
He worked hard.	عمل بجد.
He's my father.	إنه والدي.
He's ready now.	إنهُ مُسعد الأن.
Here is a book.	إليك بكتاب.
Here is a book.	هنا كتاب.
Here they come.	ها قد أَتَوْا.
Here's my card.	هذه بطاقتي.
Here's the bus.	ها هو الباص.
Hi! What's new?	هلا! ما الجديد؟
Hi, come on in.	مرحبا, ادخل
How can I help?	كيف بإمكاني مساعدتك ؟
How high is it?	ما مدي ارتفاعها ؟
How much is it?	كم ثمنها؟
How's your dad?	كيف حال أبيك؟
I am a student.	أنا طالب
I am a tourist.	أنا سائح.
I am in London.	أنا في لندن.
I began to cry.	أخذت تبكي.
I began to cry.	بدأتُ بالبكاء.
I came on foot.	جئت سيراً على الأقدام.
I came on foot.	أتيت سيراً على الأقدام.
I can't see it.	لا يمكنني رؤيته.
I feel for you.	أشعر بما تمر به.
